restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins,carb_percent,fat_percent,protein_percent
In-N-Out Burger,Vanilla Shake,15.0,oz,350.56,55.56,55.56,9.48,5.9,37.56,297.35,0.0,572.79,12.08,63.395709721588325,24.33820173436787,13.783660429027842
In-N-Out Burger,Cheeseburger with Onion,229.0,grams,321.46,28.4,1.65,12.49,5.04,59.45,818.14,0.9,439.8,22.77,35.33876687612767,34.96858084987246,28.333229639768557
In-N-Out Burger,Hamburger with Onion,208.0,grams,293.46,24.01,3.2,14.49,6.01,45.56,682.06,2.01,326.96,16.83,32.72677707353643,44.43876507871601,22.940094050296462
In-N-Out Burger,"7Up (With Ice), Large",22.0,oz.,399.84,58.22,41.96,16.93,10.22,92.61,145.53,0.56,54.77,4.19,58.24329731892758,38.1077430972389,4.191676670668268
In-N-Out Burger,"7Up (With Ice), Medium",15.0,oz.,399.84,58.22,41.96,16.93,10.22,92.61,145.53,0.56,54.77,4.19,58.24329731892758,38.1077430972389,4.191676670668268
In-N-Out Burger,"7Up (With Ice), Small",11.0,oz.,221.52,29.42,0.21,10.46,1.66,0.0,149.1,2.7,411.09,2.44,53.123871433730585,42.49729144095342,4.405922715781871
In-N-Out Burger,"7Up (Without Ice), Large",30.0,oz.,399.84,58.22,41.96,16.93,10.22,92.61,145.53,0.56,54.77,4.19,58.24329731892758,38.1077430972389,4.191676670668268
In-N-Out Burger,"7Up (Without Ice), Medium",20.0,oz.,171.38,24.5,1.07,6.42,0.94,0.0,277.83,1.28,94.64,3.63,57.1828684794025,33.714552456529354,8.472400513478819
In-N-Out Burger,"7Up (Without Ice), Small",14.0,oz.,221.52,29.42,0.21,10.46,1.66,0.0,149.1,2.7,411.09,2.44,53.123871433730585,42.49729144095342,4.405922715781871
In-N-Out Burger,Double-Double with Onion,286.0,grams,476.0,57.32,26.47,26.35,12.96,64.25,435.32,3.63,175.61,7.03,48.168067226890756,49.82142857142857,5.907563025210084
In-N-Out Burger,Hot Cocoa with Marshmallows,8.0,oz,22.9,5.85,4.14,0.01,0.0,0.0,5.76,0.01,0.36,0.13,102.18340611353712,0.39301310043668125,2.2707423580786026
In-N-Out Burger,"7Up (With Ice), X-Large",29.0,oz.,399.84,58.22,41.96,16.93,10.22,92.61,145.53,0.56,54.77,4.19,58.24329731892758,38.1077430972389,4.191676670668268
In-N-Out Burger,"7Up (Without Ice), X-Large",42.0,oz.,399.84,58.22,41.96,16.93,10.22,92.61,145.53,0.56,54.77,4.19,58.24329731892758,38.1077430972389,4.191676670668268
In-N-Out Burger,"Coca-Cola (With Ice), Large",22.0,oz.,163.89,40.66,38.93,0.86,0.0,0.0,10.21,0.2,37.93,0.1,99.23729330648607,4.722679846238331,0.24406614192446158
