restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins,carb_percent,fat_percent,protein_percent,score
Buffalo Wild Wings,"Small Cauliflower Wings, Add Wild Sauce",1.0,Serving,71.0,8.64,3.73,3.27,1.75,7.08,747.89,3.21,255.77,3.47,48.676056338028175,41.45070422535211,19.549295774647888,0.293
Buffalo Wild Wings,Wild Sauce,1.0,Serving,165.64,35.0,1.2,0.56,0.08,0.0,4.92,2.95,165.64,6.54,84.52064718666989,3.042743298720117,15.793286645737744,0.657
Buffalo Wild Wings,"Large Cauliflower Wings, Add Buffalo Dry Rub",1.0,Serving,52.14,6.38,2.96,2.59,1.32,5.08,779.77,3.03,230.11,2.62,48.94514767932489,44.706559263521285,20.099731492136556,0.296
Buffalo Wild Wings,"Large Cauliflower Wings, Add Original Buffalo Sauce",1.0,Serving,52.14,6.38,2.96,2.59,1.32,5.08,779.77,3.03,230.11,2.62,48.94514767932489,44.706559263521285,20.099731492136556,0.296
Buffalo Wild Wings,"Small Cauliflower Wings, Add Buffalo Dry Rub",1.0,Serving,52.14,6.38,2.96,2.59,1.32,5.08,779.77,3.03,230.11,2.62,48.94514767932489,44.706559263521285,20.099731492136556,0.296
Buffalo Wild Wings,"Small Cauliflower Wings, Add Original Buffalo Sauce",1.0,Serving,52.14,6.38,2.96,2.59,1.32,5.08,779.77,3.03,230.11,2.62,48.94514767932489,44.706559263521285,20.099731492136556,0.296
Buffalo Wild Wings,"10 Count Boneless Wings, Add Wild Sauce",1.0,Serving,76.63,3.93,0.13,5.13,1.67,13.49,195.96,0.26,79.63,3.79,20.514158945582672,60.25055461307582,19.783374657444867,0.355
Buffalo Wild Wings,"10 Count Traditional Wings, Add Wild Sauce",1.0,Serving,894.59,33.86,14.55,65.84,23.1,369.33,2034.3,6.44,889.39,44.37,15.139896488894353,66.23816496942734,19.83925597200952,0.508
Buffalo Wild Wings,"15 Count Boneless Wings, Add Wild Sauce",1.0,Serving,76.63,3.93,0.13,5.13,1.67,13.49,195.96,0.26,79.63,3.79,20.514158945582672,60.25055461307582,19.783374657444867,0.355
Buffalo Wild Wings,"15 Count Traditional Wings, Add Wild Sauce",1.0,Serving,894.59,33.86,14.55,65.84,23.1,369.33,2034.3,6.44,889.39,44.37,15.139896488894353,66.23816496942734,19.83925597200952,0.508
Buffalo Wild Wings,"20 Count Boneless Wings, Add Wild Sauce",1.0,Serving,76.63,3.93,0.13,5.13,1.67,13.49,195.96,0.26,79.63,3.79,20.514158945582672,60.25055461307582,19.783374657444867,0.355
Buffalo Wild Wings,"20 Count Traditional Wings, Add Wild Sauce",1.0,Serving,894.59,33.86,14.55,65.84,23.1,369.33,2034.3,6.44,889.39,44.37,15.139896488894353,66.23816496942734,19.83925597200952,0.508
Buffalo Wild Wings,"30 Count Boneless Wings, Add Wild Sauce",1.0,Serving,76.63,3.93,0.13,5.13,1.67,13.49,195.96,0.26,79.63,3.79,20.514158945582672,60.25055461307582,19.783374657444867,0.355
Buffalo Wild Wings,"30 Count Traditional Wings, Add Wild Sauce",1.0,Serving,894.59,33.86,14.55,65.84,23.1,369.33,2034.3,6.44,889.39,44.37,15.139896488894353,66.23816496942734,19.83925597200952,0.508
Buffalo Wild Wings,"6 Count Boneless Wings, Add Wild Sauce",1.0,Serving,76.63,3.93,0.13,5.13,1.67,13.49,195.96,0.26,79.63,3.79,20.514158945582672,60.25055461307582,19.783374657444867,0.355
Buffalo Wild Wings,"6 Count Traditional Wings, Add Wild Sauce",1.0,Serving,894.59,33.86,14.55,65.84,23.1,369.33,2034.3,6.44,889.39,44.37,15.139896488894353,66.23816496942734,19.83925597200952,0.508
Buffalo Wild Wings,Buffalo Chicken Tots,1.0,Serving,87.74,2.64,0.06,6.51,2.31,21.95,105.28,0.11,45.88,4.53,12.035559607932528,66.77684066560292,20.65192614542968,0.347
Buffalo Wild Wings,Buffalo Dry Rub,1.0,Serving,229.75,0.78,0.46,7.29,3.05,110.88,267.6,0.12,403.96,37.87,1.3579978237214363,28.55712731229597,65.93253536452666,0.391
Buffalo Wild Wings,Original Buffalo Sauce,1.0,Serving,37.65,5.26,4.96,2.03,0.4,0.0,10.05,0.17,14.4,0.1,55.88313413014608,48.525896414342625,1.062416998671979,0.154
BJ's Restaurants,BJ's Lemonade,1.0,Serving,88.2,22.27,22.27,0.0,0.275,0.0,51.45,0.0,46.55,0.0,100.99773242630386,0.0,0.0,0.212
BJ's Restaurants,BJ's Brewhouse Blonde,16.0,fl oz,225.84,30.05,17.95,10.91,6.56,47.78,132.69,0.42,52.25,2.44,53.223521076868586,43.47768331562168,4.3216436415161175,0.304
BJ's Restaurants,BJ's Brewhouse Bowl,1.0,Serving,879.33,27.21,5.68,67.13,20.57,689.92,1765.61,5.59,1068.89,42.84,12.377605677049571,68.70799358602572,19.48756439561939,0.506
BJ's Restaurants,BJ's Brewhouse Classic,1.0,Slice,155.4,38.33,36.78,0.93,0.0,0.0,11.1,0.0,18.5,0.0,98.66151866151866,5.386100386100386,0.0,0.365
BJ's Restaurants,BJ's Brewhouse Margarita,1.0,Serving,352.68,37.17,26.5,0.16,0.01,0.0,4.53,2.02,357.51,1.07,42.15719632528071,0.4083021435862538,1.2135647045480322,0.386
BJ's Restaurants,BJ's Classic Mojito,1.0,Serving,148.96,15.07,0.09,9.51,0.95,0.0,147.56,0.87,334.88,1.79,40.4672395273899,57.45837808807733,4.806659505907626,0.46
BJ's Restaurants,BJ's Harvest Hefeweizen,16.0,fl oz,153.08,12.64,0.0,0.0,0.0,0.0,14.24,0.0,96.12,1.64,33.02848183956101,0.0,4.2853409981708905,0.429
BJ's Restaurants,BJ's HopStorm IPA,16.0,fl oz,196.85,6.56,0.36,0.0,0.0,0.0,16.35,0.0,84.7,0.96,13.329946659893318,0.0,1.9507239014478028,0.353
BJ's Restaurants,BJ's Jeremiah Red,16.0,fl oz,109.2,22.92,2.91,0.81,0.16,0.0,0.98,1.76,77.03,2.26,83.95604395604396,6.675824175824177,8.278388278388277,0.437
BJ's Restaurants,BJ's LightSwitch Lager,16.0,fl oz,153.08,12.64,0.0,0.0,0.0,0.0,14.24,0.0,96.12,1.64,33.02848183956101,0.0,4.2853409981708905,0.429
BJ's Restaurants,BJ's Nutty Brewnette,16.0,fl oz,360.35,35.36,34.69,3.67,2.19,11.4,12.49,0.0,125.93,0.76,39.25072845844318,9.166088525045096,0.8436242541973081,0.341
BJ's Restaurants,BJ's Oasis Amber,16.0,fl oz,160.0,17.56,2.91,8.43,0.275,0.0,16.35,0.0,96.12,5.97,43.89999999999999,47.41875,14.924999999999999,0.381
