food_name,calories_x,carbohydrates_x,fiber_x,fats_x,glycemic_index,category,description,brand,food_category,sugars_x,proteins_x,serving_weight,restaurant_name,serving_size,serving_unit,calories_y,carbohydrates_y,sugars_y,fats_y,saturated_fats,cholesterol,sodium,fiber_y,potassium,proteins_y,calories_per_100g,carbs_per_100g,fats_per_100g,gi_category
backyard bbq salad,,,,,,,,,,,,,Noodles & Company,1.0,Serving,663.6,52.43,35.88,37.01,14.71,97.77,1676.49,7.7,1363.81,34.21,,,,Unknown
bacon,,,,,,,,,,,,,Subway,2.0,Strips,161.46,0.59,0.0,12.11,4.13,34.16,580.98,0.0,172.16,11.7,,,,Unknown
bacon & cheese whataburger jr.,,,,,,,,,,,,,Whataburger,1.0,Serving,595.02,39.86,9.77,33.46,12.93,105.5,1422.14,2.74,502.18,33.3,,,,Unknown
bacon biscuit,,,,,,,,,,,,,Popeye's,1.0,Serving,396.0,40.34,3.46,19.71,7.54,31.68,1145.76,1.85,271.92,15.75,,,,Unknown
bacon cheeseburger,,,,,,,,,,,,,Burger King,1.0,serving,595.02,39.86,9.77,33.46,12.93,105.5,1422.14,2.74,502.18,33.3,,,,Unknown
bacon king,,,,,,,,,,,,,Burger King,1.0,serving,161.46,0.59,0.0,12.11,4.13,34.16,580.98,0.0,172.16,11.7,,,,Unknown
"bacon mac & cheese, bread bowl",,,,,,,,,,,,,Panera Bread,1.0,Serving,850.04,69.05,2.27,45.12,24.82,130.43,870.2,3.81,504.76,41.04,,,,Unknown
bacon macaroni & cheese,,,,,,,,,,,,,Tony Roma's,1.0,serving,850.04,69.05,2.27,45.12,24.82,130.43,870.2,3.81,504.76,41.04,,,,Unknown
bacon melt,,,,,,,,,,,,,Burger King,1.0,serving,899.39,46.04,5.69,56.62,29.48,200.83,1406.19,5.57,762.08,49.94,,,,Unknown
bacon smash,,,,,,,,,,,,,Smashburger,1.0,Serving,33.32,2.0,0.0,1.81,0.28,0.0,123.9,0.71,10.15,2.24,,,,Unknown
baconator,,,,,,,,,,,,,Wendy's,1.0,serving,930.6,62.34,15.28,52.34,20.22,165.0,2224.2,4.29,785.4,52.07,,,,Unknown
baconator fries,,,,,,,,,,,,,Wendy's,1.0,serving,930.6,62.34,15.28,52.34,20.22,165.0,2224.2,4.29,785.4,52.07,,,,Unknown
baguette (side),,,,,,,,,,,,,Noodles & Company,1.0,Serving,881.28,168.09,14.97,7.84,1.71,0.0,1950.48,7.13,379.08,34.83,,,,Unknown
baked potato,,,,,,,,,,,,,Tony Roma's,1.0,serving,160.89,36.59,2.04,0.22,0.06,0.0,17.3,3.81,925.55,4.33,,,,Unknown
baked ravoili,,,,,,,,,,,,,Bertucci's,1.0,Serving,217.6,0.0,0.0,4.51,1.6,96.9,95.2,0.0,646.0,44.46,,,,Unknown
balsamic vinaigrette,,,,,,,,,,,,,TGI Friday's,1.0,Serving,70.56,3.56,3.17,6.21,0.87,0.0,291.94,0.0,24.7,0.12,,,,Unknown
balsamic vinegar,,,,,,,,,,,,,Sweetgreen,1.0,Serving,14.08,2.72,2.39,0.0,0.0,,3.68,,17.92,0.08,,,,Unknown
banana,,,,,,,,,,,,,Panera Bread,1.0,Banana,105.02,26.95,14.43,0.39,0.13,0.0,1.18,3.07,422.44,1.29,,,,Unknown
bananas,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,Low
bar harbor lobster bake,,,,,,,,,,,,,Red Lobster,1.0,serving,306.47,18.29,2.09,18.58,3.01,84.12,396.15,1.53,215.52,16.27,,,,Unknown
bar harbor lobster bake family feast,,,,,,,,,,,,,Red Lobster,1.0,order,121.55,2.65,,1.65,0.26,76.5,192.95,0.0,176.8,22.45,,,,Unknown
barbacoa,,,,,,,,,,,,,Chipotle,4.0,oz,204.76,2.35,0.27,7.14,2.85,99.73,70.83,0.78,401.43,33.11,,,,Unknown
barley,485.0,50.38,9.120000000000001,1.158,22.0,Diabetic-Friendly Foods,BARLEY,FABI-SAA,Other Grains & Seeds,,1.77,,,,,,,,,,,,,,,,,,Low
"barq's root beer, 22 fl oz",,,,,,,,,,,,,Chipotle,22.0,fl oz,151.7,39.22,39.22,0.0,0.0,0.0,48.1,0.0,3.7,0.0,,,,Unknown
"barq's root beer, 32 fl oz",,,,,,,,,,,,,Chipotle,32.0,fl oz,151.7,39.22,39.22,0.0,0.0,0.0,48.1,0.0,3.7,0.0,,,,Unknown
basil,185.0,14.280000000000001,35.7,21.16,,Diabetic-Friendly Foods,BASIL,CORA,Herbs & Spices,,0.0,,,,,,,,,,,,,,,,,,Unknown
basmati rice,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,Low
bbq bacon cheddar,,,,,,,,,,,,,Smashburger,1.0,Serving,253.97,20.01,1.46,16.56,9.81,47.5,436.58,0.73,74.59,6.43,,,,Unknown
