food_name,calories_x,carbohydrates_x,fiber_x,fats_x,glycemic_index,category,description,brand,food_category,sugars_x,proteins_x,serving_weight,restaurant_name,serving_size,serving_unit,calories_y,carbohydrates_y,sugars_y,fats_y,saturated_fats,cholesterol,sodium,fiber_y,potassium,proteins_y,calories_per_100g,carbs_per_100g,fats_per_100g,gi_category
bbq flavored jimmy chips,,,,,,,,,,,,,Jimmy John's Sandwiches,1.0,medium sweet potato,138.06,15.85,1.55,8.81,1.13,0.0,154.51,1.08,336.23,1.85,,,,Unknown
bbq jimmy chips,,,,,,,,,,,,,Jimmy John's,1.0,Serving,132.96,20.24,1.42,5.16,0.75,0.0,157.06,1.36,204.4,1.42,,,,Unknown
bbq sauce,,,,,,,,,,,,,Five Guys,1.0,Serving,58.48,13.86,11.3,0.21,0.02,0.0,349.18,0.31,78.88,0.28,,,,Unknown
bbq wings,,,,,,,,,,,,,Smashburger,1.0,Serving,131.07,0.31,0.31,9.2,2.36,65.79,295.29,0.0,145.35,11.94,,,,Unknown
beach bell beer (12 oz),,,,,,,,,,,,,Taco Bell,12.0,oz,31.92,7.64,5.0,0.23,0.03,0.0,2.28,1.37,189.24,1.05,,,,Unknown
beach bell beer (16 oz),,,,,,,,,,,,,Taco Bell,16.0,oz,31.92,7.64,5.0,0.23,0.03,0.0,2.28,1.37,189.24,1.05,,,,Unknown
bean crunchy taco,,,,,,,,,,,,,Taco Bell Canada,1.0,Taco,155.94,13.7,0.62,8.76,3.02,19.32,273.93,2.69,144.21,6.11,,,,Unknown
beef and broccoli,,,,,,,,,,,,,Pick Up Stix,0.5,Portion,337.91,18.01,7.61,20.63,5.41,63.36,995.8,2.52,558.43,20.87,,,,Unknown
beef chow mein,,,,,,,,,,,,,Pick Up Stix,0.5,Portion,441.97,27.43,2.67,27.37,7.07,81.15,792.82,2.42,363.28,21.51,,,,Unknown
beef fried rice,,,,,,,,,,,,,Pick Up Stix,0.5,Portion,336.84,24.99,0.98,18.52,4.53,111.46,344.81,0.91,261.84,16.47,,,,Unknown
"beer, 6% abv & up, half yard",,,,,,,,,,,,,Yard House,1.0,Serving,18.45,0.71,0.62,1.56,1.05,5.25,9.15,0.0,19.8,0.47,,,,Unknown
"beer, light, half yard",,,,,,,,,,,,,Yard House,1.0,Serving,102.66,5.81,0.32,0.0,0.0,0.0,14.16,0.0,74.34,0.85,,,,Unknown
"beer, under 6% abv, half yard",,,,,,,,,,,,,Yard House,1.0,Serving,18.45,0.71,0.62,1.56,1.05,5.25,9.15,0.0,19.8,0.47,,,,Unknown
belgian waffle,,,,,,,,,,,,,IHOP,1.0,Serving,218.25,24.68,,10.58,2.15,51.75,383.25,,119.25,5.93,,,,Unknown
bell peppers,18.0,5.888,1.0677999999999999,0.1018,,Diabetic-Friendly Foods,BELL PEPPERS,PERO FAMILY FARMS,Pre-Packaged Fruit & Vegetables,,1.18,,,,,,,,,,,,,,,,,,Unknown
